PublicID,Date,Latitude,Longitude,strike1,dip1,rake1,strike2,dip2,rake2,ML,Mw,Mo,CD,NS,DC,Mxx,Mxy,Mxz,Myy,Myz,Mzz,VR,Tva,Tpl,Taz,Nva,Npl,Naz,Pva,Ppl,Paz,Method,reviewed,reviewer,source
2103645,20030800000000.0,-45.1929,166.83,20.0,35.0,79.0,213.0,56.0,98.0,7.0,7.1,5.61e+26,22.0,5.0,87.0,-735165.31,2369692.25,-1425430.75,-4250704.5,1486940.25,4985869.5,83.0,5416627.5,78.0,149.0,388026.19,6.0,28.0,-5804654.0,11.0,298.0,1.0,True,,GeoNet
2169849,20030800000000.0,-45.3592,166.8152,12.0,23.0,72.0,212.0,68.0,98.0,6.1,6.1,1.34e+25,14.0,3.0,70.0,-24379.98,20586.8,-59955.3,-77293.3,76089.99,101673.27,67.0,144527.23,66.0,135.0,-21321.51,7.0,29.0,-123205.72,23.0,296.0,1.0,True,,GeoNet
2206498,20030800000000.0,-45.29,166.802,44.0,41.0,67.0,252.0,53.0,108.0,5.1,5.3,9.16e+23,9.0,1.0,79.0,-6419.43,4901.66,-2648.5,-1525.1,-573.02,7944.53,71.0,8649.84,74.0,217.0,1021.07,14.0,60.0,-9670.91,6.0,329.0,1.0,True,,GeoNet
2218435,20030800000000.0,-45.0656,166.9658,232.0,68.0,102.0,23.0,25.0,63.0,5.1,5.2,7.19e+23,14.0,1.0,66.0,-1515.79,3653.11,-4129.25,-2732.08,2961.54,4247.87,89.0,6523.77,65.0,162.0,1337.04,11.0,47.0,-7860.81,22.0,313.0,1.0,True,Felipe,GeoNet
2254800,20030800000000.0,-45.1861,166.9908,52.0,43.0,79.0,247.0,48.0,100.0,5.0,5.0,3.3e+23,10.0,1.0,89.0,-2420.32,1343.12,-440.26,-901.23,-281.92,3321.55,77.0,3391.86,82.0,222.0,-179.29,8.0,60.0,-3212.57,3.0,330.0,1.0,True,Felipe,GeoNet
2281164,20030800000000.0,-45.3072,166.9217,221.0,57.0,66.0,80.0,40.0,122.0,5.5,5.5,2.07e+24,5.0,1.0,85.0,-14387.7,10640.4,-2038.05,-2374.83,8199.61,16762.53,81.0,19901.52,68.0,81.0,1640.91,20.0,234.0,-21542.42,9.0,328.0,1.0,True,Felipe,GeoNet
2259710,20030800000000.0,-45.1529,166.8441,261.0,59.0,118.0,36.0,40.0,52.0,4.5,4.8,1.65e+23,6.0,1.0,78.0,-1005.16,727.2,-782.28,-332.27,-376.99,1337.43,61.0,1741.57,65.0,220.0,-190.47,23.0,66.0,-1551.1,10.0,332.0,1.0,False,,GeoNet
2105025,20030800000000.0,-45.2061,166.9382,240.0,61.0,93.0,53.0,29.0,84.0,4.8,4.9,2.82e+23,5.0,1.0,74.0,-1670.56,1369.7,-1333.56,-498.35,725.59,2168.9,85.0,2617.18,74.0,159.0,398.85,3.0,58.0,-3016.03,16.0,328.0,1.0,False,,GeoNet
2214737,20030800000000.0,-45.4634,166.6344,40.0,45.0,122.0,178.0,53.0,62.0,5.4,5.4,1.43e+24,19.0,2.0,80.0,1385.05,5514.7,3458.4,-13020.7,3080.33,11635.65,75.0,-15016.72,67.0,28.0,1495.29,22.0,195.0,13521.44,4.0,288.0,1.0,True,Felipe,GeoNet
2106314,20030800000000.0,-45.4882,166.6794,42.0,48.0,70.0,250.0,45.0,111.0,5.0,5.1,5.28e+23,6.0,1.0,98.0,-3507.79,2639.27,-511.03,-1419.03,-1186.28,4926.82,83.0,5261.68,76.0,242.0,46.12,14.0,55.0,-5307.8,2.0,146.0,1.0,True,Felipe,GeoNet
2204598,20030800000000.0,-45.3144,166.9468,55.0,57.0,106.0,207.0,37.0,67.0,5.5,5.4,1.22e+24,10.0,3.0,97.0,-4446.9,6139.33,4818.63,-6265.48,-1213.07,10712.38,86.0,12133.05,73.0,8.0,167.82,14.0,225.0,-12300.87,10.0,133.0,1.0,True,Felipe,GeoNet
2122842,20030900000000.0,-43.2859,172.9231,49.0,85.0,12.0,318.0,78.0,175.0,4.8,4.5,8.04e+22,20.0,3.0,63.0,-871.4,-93.31,101.68,692.18,-109.0,179.21,76.0,-885.49,12.0,275.0,722.27,77.0,71.0,163.22,5.0,183.0,1.0,False,,GeoNet
2128373,20031000000000.0,-43.2889,172.8909,283.0,60.0,80.0,123.0,31.0,107.0,4.3,3.9,8.79e+21,18.0,3.0,91.0,-63.4,-26.69,-45.17,-12.72,-1.41,76.11,83.0,89.85,73.0,168.0,-3.86,9.0,288.0,-86.0,15.0,20.0,1.0,False,,GeoNet
2133316,20031000000000.0,-43.7851,173.4557,150.0,81.0,131.0,250.0,42.0,14.0,4.4,4.0,1.01e+22,2.0,3.0,90.0,-63.8,-44.75,30.0,38.86,65.2,24.94,72.0,98.7,39.0,97.0,4.95,41.0,322.0,-103.65,25.0,209.0,1.0,False,,GeoNet
2136503,20031000000000.0,-45.2038,167.0015,176.0,57.0,55.0,49.0,47.0,132.0,4.8,4.4,4.96e+22,14.0,3.0,61.0,-26.43,178.03,232.94,-356.82,177.59,383.26,76.0,550.37,60.0,30.0,-108.54,29.0,197.0,-441.83,6.0,291.0,1.0,False,,GeoNet
2137041,20031100000000.0,-45.2039,166.3132,38.0,45.0,119.0,179.0,52.0,64.0,5.9,6.4,4.49e+25,10.0,8.0,53.0,-82785.05,108376.49,177055.75,-347238.69,113301.12,430023.72,84.0,508462.41,69.0,27.0,-119305.1,21.0,196.0,-389157.34,4.0,287.0,1.0,True,Felipe,GeoNet
2137060,20031100000000.0,-45.2234,166.4301,101.0,80.0,56.0,356.0,35.0,162.0,4.9,4.8,1.63e+23,2.0,3.0,28.0,-417.54,-1141.69,1120.47,-27.13,551.95,444.67,76.0,1269.79,45.0,338.0,721.82,33.0,107.0,-1991.62,27.0,217.0,1.0,False,,GeoNet
2137098,20031100000000.0,-45.1773,166.8506,147.0,83.0,73.0,34.0,18.0,156.0,4.9,4.7,1.37e+23,6.0,3.0,35.0,-10.3,327.36,930.42,-528.5,915.77,538.79,81.0,1639.37,49.0,39.0,-535.63,16.0,149.0,-1103.73,36.0,251.0,1.0,False,,GeoNet
2137140,20031100000000.0,-36.78,179.32,47.0,82.0,79.0,281.0,14.0,144.0,5.1,5.0,3.68e+23,6.0,3.0,24.0,-1472.48,-783.49,2130.35,-301.68,-2815.43,1774.17,63.0,4544.64,52.0,305.0,-1731.89,11.0,48.0,-2812.75,36.0,147.0,1.0,True,Felipe,GeoNet
2137186,20031100000000.0,-45.4172,166.1204,41.0,59.0,140.0,155.0,56.0,39.0,5.2,5.2,6.83e+23,6.0,6.0,65.0,3150.19,1516.59,2402.56,-7265.44,102.54,4115.25,73.0,6165.35,49.0,7.0,1321.52,40.0,190.0,-7486.87,2.0,99.0,1.0,True,Felipe,GeoNet
2137341,20031100000000.0,-45.2054,166.3523,263.0,84.0,-121.0,163.0,31.0,-11.0,4.8,4.7,1.47e+23,2.0,3.0,95.0,451.81,690.29,1218.18,-211.01,-205.93,-240.8,79.0,1487.8,32.0,18.0,-39.61,30.0,266.0,-1448.19,43.0,144.0,1.0,False,,GeoNet
2148461,20031100000000.0,-42.8995,171.6705,159.0,84.0,13.0,68.0,77.0,173.0,4.1,4.0,9.55e+21,8.0,3.0,84.0,57.62,67.65,14.28,-69.56,15.25,11.94,84.0,91.51,13.0,24.0,7.94,76.0,183.0,-99.45,5.0,293.0,1.0,False,,GeoNet
2150155,20031100000000.0,-37.5104,176.6596,16.0,71.0,31.0,275.0,61.0,158.0,5.5,4.6,1.13e+23,207.0,2.0,73.0,-552.45,915.35,-94.34,112.92,-446.71,439.53,72.0,-1214.19,35.0,239.0,164.16,54.0,44.0,1050.03,6.0,144.0,1.0,False,,GeoNet
2155408,20031200000000.0,-45.0954,166.7951,111.0,61.0,64.0,336.0,38.0,129.0,4.8,4.4,4.64e+22,16.0,2.0,15.0,-215.81,-397.79,169.74,-65.88,98.33,281.69,86.0,338.34,64.0,337.0,250.34,22.0,124.0,-588.69,12.0,219.0,1.0,False,,GeoNet
2157040,20031200000000.0,-43.3772,171.0577,249.0,84.0,160.0,342.0,70.0,6.0,4.5,4.2,2.62e+22,14.0,3.0,32.0,98.24,200.38,-60.19,-203.29,52.45,105.05,83.0,208.25,19.0,204.0,108.03,69.0,53.0,-316.27,10.0,297.0,1.0,False,,GeoNet
2160777,20031200000000.0,-39.3274,174.9457,31.0,78.0,147.0,129.0,58.0,15.0,5.1,4.3,2.79e+22,153.0,4.0,14.0,187.95,-97.55,219.8,-174.64,-70.46,-13.31,77.0,356.26,32.0,346.0,-153.57,55.0,193.0,-202.69,13.0,84.0,1.0,False,,GeoNet
2161200,20031200000000.0,-45.2874,166.8395,141.0,84.0,38.0,46.0,52.0,172.0,4.7,4.3,2.94e+22,24.0,3.0,98.0,210.38,27.43,129.49,-250.36,122.23,39.98,41.0,293.26,31.0,11.0,2.46,51.0,148.0,-295.72,21.0,267.0,1.0,False,,GeoNet
